Store,Transaction_ID,Customer_ID,Product_name,Product_Quality,Total_Sales
64,560,278,Kettle Sensations   BBQ&Maple 150g,1.9767857142857144,4894.6
65,1517,372,Pringles Slt Vingar 134g,1.936058009228741,13015.05
66,590,301,Smiths Crnkle Chip  Orgnl Big Bag 380g,1.9728813559322034,5142.0
67,1486,253,NCC Sour Cream &    Garden Chives 175g,1.9777927321668909,10326.0
68,469,268,Infuzions BBQ Rib   Prawn Crackers 110g,1.88272921108742,3927.5
69,1633,260,Smiths Chip Thinly  S/Cream&Onion 175g,1.9797917942437233,11288.85
70,1376,244,Doritos Corn Chip Southern Chicken 150g,1.9861918604651163,9483.0
71,1676,247,French Fries Potato Chips 175g,1.9809069212410502,11550.8
72,1628,365,Smiths Crinkle Chips Salt & Vinegar 330g,1.980958230958231,14204.4
73,595,356,RRD Lime & Pepper   165g,1.8521008403361345,3904.2
74,495,321,Kettle Sweet Chilli And Sour Cream 175g,1.288888888888889,2244.9
75,1501,356,Tostitos Lightly    Salted 175g,1.972018654230513,13089.6
76,1,1,Smiths Thinly Cut   Roast Chicken 175g,2.0,6.0
77,563,356,GrnWves Plus Btroot & Chilli Jam 180g,1.5488454706927175,3040.0
78,1364,244,Tostitos Smoked     Chipotle 175g,1.9860703812316716,9381.25
79,1402,359,Cobs Popd Sour Crm  &Chives Chips 110g,1.9094151212553494,11831.2
80,1415,371,Tostitos Lightly    Salted 175g,1.8734982332155476,11756.9
81,1649,380,Grain Waves         Sweet Chilli 210g,1.9648271679805942,14361.95
82,599,342,Doritos Corn Chip Mexican Jalapeno 150g,1.9365609348914858,4103.5
83,1438,241,Infuzions Mango     Chutny Papadums 70g,1.9867872044506258,9924.9
84,615,310,Thins Chips Salt &  Vinegar 175g,1.983739837398374,5396.3
85,3,3,Tostitos Lightly    Salted 175g,1.6666666666666667,13.9
86,1538,273,Woolworths Medium   Salsa 300g,1.9934980494148244,10635.35
87,528,279,Pringles Original   Crisps 134g,1.7083333333333333,3991.6
88,1873,388,Old El Paso Salsa   Dip Tomato Med 300g,1.9850507207688202,16333.25
89,555,332,Thins Chips Seasonedchicken 175g,1.2594594594594595,2390.1
90,554,334,French Fries Potato Chips 175g,1.635379061371841,3163.1
91,1290,369,Tyrrells Crisps     Ched & Chives 165g,1.92015503875969,11021.9
